activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brcis_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,created_at,updated_at,the_geom,cartodb_id
54,GEDO,DOLOW,SUR-GUDUD,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,348
65,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Profitable Shared Community Assets,1,1800,40000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,687
40,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Formation and training VSLs,2,10,1500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,826
20,GEDO,DOLOW,KAPASA,NRC,DROUGHT,Establishing distribution system,1,2000,7500,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,879
42,GEDO,ELWAK,TUULO GARAS,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,,X,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1021
5,BANADIR,DHARKENLEY ,SACID RORAYE,NRC,FLOOD,Construction of latrines,30,30,22500,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1101
62,GEDO,ELWAK,DHAMASA,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,82
15,BANADIR,HODAN,AHMED GUREY,SCI,FLOOD,Cash grant for Income Generating Activities (IGA),1,50,35000.25,4,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1219
62,L.SHABELLE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,87
54,GEDO,ELWAK,MERI,CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,344
40,HIRAN,MATABAN,SALAH SALID,SCI,DROUGHT,Formation and training VSLs,2,10,2000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,825
46,HIRAN,BELETWEYNE,DUSMO,SCI,DROUGHT,Climate change hearing,1,121,3000,1,,,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1188
54,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,DROUGHT,Restocking,300 goats,30,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,366
38,GEDO,DOLOW,SUR-GUDUD,NRC,HAZARDS,Pilot bee keeping for youth group,1,10,25000,4,,,X,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,736
14,GEDO,ELWAK,ELWAK TOWN,CWW,DROUGHT,Road rehabilation through cash for work (KM),3.5,14,3500,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,324
20,GEDO,DOLOW,GEEDWEINE,NRC,DROUGHT,Rehabilitation distribution system,1,2000,7500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,430
21,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Re/Construction of Community Meeting Places,1,130,6150,4,,,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,491
35,BAY,BAIDOA,BONKAI,NRC,FLOOD,Distribution soaps,3,300,900,3,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,964
19,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Constraction of 2 new berkets,1,100,26000,2,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1123
43,HIRAN,BELETWEYNE,BELETWEYNE TOWN,SCI,FLOOD,Community early warning system,1,858,6000,1,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1175
38,BAY,BAIDOA,HAWL WADAAG,NRC,DROUGHT,Training on GAPs,3,50,3300,4,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,172
18,GEDO,DOLOW,KAPASA,NRC,HAZARDS,Training on IGAs,3,20,1500,4,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,163
33,HIRAN,BELETWEYNE,BASLAWE,SCI,FLOOD,Provision of irrigation motor pumps,2,50,4500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,531
13,BAY,BAIDOA,BERDAALE,NRC,DROUGHT,Unconditional Cash Distribution,9,50,31500,4,X,X,,X,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,67
38,GEDO,DOLOW,GEEDWEINE,NRC,DROUGHT,Training on GAPs,3,100,3300,4,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,173
56,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,200,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,2
56,MUDUG,HOBYO,XAARO,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,150,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,3
56,MUDUG,HOBYO,WISIL,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,350,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,4
56,MUDUG,GALKACYO,WARGALO,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,5
56,MUDUG,GALKACYO,HOWL WADAAG,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,300,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,6
56,HIRAN,BELETWEYNE,GARASH,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,80,1500,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,7
56,MUDUG,GALKACYO,GALINSOOR,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,3000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,8
56,MUDUG,GALKACYO,DOCOL,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,9
56,MUDUG,GALKACYO,DHUURE,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,200,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,10
56,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,40,1500,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,11
56,HIRAN,BELETWEYNE,BUULO YAKUB,CESVI,CONFLICT,Workshop on peace building activities,4 seesions,280,2000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,12
56,MUDUG,GALKACYO,BANDIIRADLEY,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,13
40,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,14
40,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,15
40,MUDUG,JARIBAN,HINGOD,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,16
40,MUDUG,JARIBAN,BUDBUD,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,17
40,MUDUG,GALKACYO,BITALE,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,18
40,MUDUG,GALKACYO,BANDARQAALI,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,19
18,BAY,BAIDOA,BONKAI,NRC,HAZARDS,Training on IGAs,3,20,1500,4,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,166
40,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,20
40,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,21
63,GEDO,BELET HAWA,MALKARIYEY,CWW,DISEASE,Water trucking (beneficiaries come from surrounding satellite villages also),275,415,55000,2,X,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,22
63,GEDO,BELET HAWA,HAROODI,CWW,DISEASE,Water trucking (beneficiaries come from surrounding satellite villages also),275,785,55000,2,X,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,23
63,GEDO,BELET HAWA,GAWIIDO,CWW,DISEASE,Water trucking (beneficiaries come from surrounding satellite villages also),275,400,55000,2,X,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,24
63,GEDO,BELET HAWA,BELET HAWA TOWN (SOUTH),CWW,DISEASE,Water trucking (beneficiaries come from surrounding satellite villages also),275,490,55000,2,X,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,25
33,HIRAN,BELETWEYNE,QOYDO,CESVI,FLOOD,Water pumps for irrigation (7),7 water pumps,150,7500,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,26
33,HIRAN,BELETWEYNE,SHINILE ,CESVI,FLOOD,Water pumps for irrigation (5),5 water pumps,110,7500,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,27
33,HIRAN,BELETWEYNE,GARASH,CESVI,FLOOD,Water pumps for irrigation (4),4 water pumps,80,6000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,28
33,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,FLOOD,Water pumps for irrigation (4),4 water pumps,40,6000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,29
33,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,FLOOD,Water pumps for irrigation (12),12 Water pumps,30,6000,4,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,30
18,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Vocational Training for young people,120,120,124800,4,X,X,X,X,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,31
18,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Vocational Training for young people,200,200,208000,4,X,X,X,X,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,32
18,GEDO,BELET HAWA,MALKARIYEY,CWW,DROUGHT,Vocational Training for young people,30,30,31200,4,,,,,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,33
18,GEDO,BELET HAWA,GAWIIDO,CWW,DROUGHT,Vocational Training for young people,30,30,31200,4,,,,,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,34
18,GEDO,BELET HAWA,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Vocational Training for young people,60,60,62400,4,,,,,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,35
18,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Vocational skills training to women and youth for beauty salon and tailoring skills ,1,50,35000.25,4,,,,X,X,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,36
18,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Urban youth livelihood startup and market development,3,90,42069.32438,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,37
15,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,"Urban business training; grants and market development",3,90,39537.58315,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,38
18,GEDO,DOLOW,KAPASA,NRC,CONFLICT,Upgrading and Equipping of YEP learning centres                             ,1,100,76000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,39
18,L.JUBA,KISMAYO,FARJANNO,NRC,CONFLICT,Upgrading and Equipping of YEP learning centres                             ,1,100,76000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,40
19,GEDO,BELET HAWA,MALKARIYEY,CWW,DROUGHT,Underground tank construction / rehabilitation,1,240,20000,2,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,41
19,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Underground tank construction / rehabilitation,2,490,28000,2,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,42
13,GEDO,ELWAK,TUULO GARAS,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,43
13,GEDO,ELWAK,TUULA CADEY,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,100,100,180000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,44
13,GEDO,ELWAK,MERI,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,90,90,162000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,45
13,GEDO,BELET HAWA,MALKARIYEY,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,130,130,234000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,46
13,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,47
13,GEDO,BELET HAWA,GAWIIDO,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,48
13,GEDO,ELWAK,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,49
13,GEDO,ELWAK,DHAMASA,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,200,200,360000,4,X,,,X,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,50
13,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,51
13,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,52
13,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,53
13,MUDUG,GALKACYO,WARGALO,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,54
13,MUDUG,GALKACYO,HOWL WADAAG,CESVI,DROUGHT,Unconditional cash transfers,90 HHs/3mths,90,27000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,55
13,MUDUG,GALKACYO,GALINSOOR,CESVI,DROUGHT,Unconditional cash transfers,70 HHs/3mths,70,21000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,56
13,MUDUG,GALKACYO,DOCOL,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,57
13,MUDUG,GALKACYO,DHUURE,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,58
13,MUDUG,GALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Unconditional cash transfers,70 HHs/3mths,70,21000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,59
13,BANADIR,HODAN,AHMED GUREY,SCI,FLOOD,Unconditional cash transfer to the acute food insecure HHs (IDPs and poor host HH),3,300,90000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,60
13,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,Unconditional cash transfer to the acute food insecure HHs (IDPs and poor host HH),3,300,90000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,61
13,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Unconditional cash transfer (safety net of $30 for 24 months),30,30,21600,4,,,X,X,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,62
13,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Unconditional cash transfer (safety net of $30 for 24 months),100,100,72000,4,,,X,X,X,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,63
13,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Unconditional Cash Distribution,9,100,63000,4,X,X,,X,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,64
13,BAY,BAIDOA,HAWL WADAAG,NRC,DROUGHT,Unconditional Cash Distribution,9,50,63500,4,X,X,,X,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,65
13,BAY,BAIDOA,BONKAI,NRC,DROUGHT,Unconditional Cash Distribution,9,100,63000,4,X,X,,X,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,66
13,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,UCT to the acute food insecure HHs (IDPs and poor host HH),3,400,120000,4,,,X,X,X,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,68
62,GEDO,ELWAK,TUULO GARAS,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,69
62,GEDO,ELWAK,TUULA CADEY,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,70
62,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,71
62,L.SHABELLE,AFGOYE,MORDINLE,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,72
62,GEDO,ELWAK,MERI,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,73
62,L.SHABELLE,AWDAGHLE,MARERE,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,74
62,GEDO,BELET HAWA,MALKARIYEY,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,75
62,L.SHABELLE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,76
62,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,77
62,L.SHABELLE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,78
62,GEDO,BELET HAWA,GAWIIDO,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,79
62,GEDO,ELWAK,ELWAK TOWN,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,80
62,GEDO,ELWAK,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,81
62,L.SHABELLE,AFGOYE,BELETAMIN,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,83
62,GEDO,BELET HAWA,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Tree planting,100,100,3000,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,84
62,L.SHABELLE,AWDAGHLE,BALOW,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,85
62,L.SHABELLE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,86
62,L.SHABELLE,AFGOYE,AANOLE,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,88
23,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Transitional Shelters Construction,1,150,105000.75,3,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,89
41,HIRAN,BELETWEYNE,GURICADE,SCI,DROUGHT,Training workshops for 20 members of WASH committees on water management,1,125,200,2,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,90
8,HIRAN,BELETWEYNE,QOQANE,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,33,1650,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,91
8,HIRAN,BELETWEYNE,QARSONE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,110,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,92
8,HIRAN,BELETWEYNE,LAFOLE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,90,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,93
8,HIRAN,BELETWEYNE,DHARIYOW,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,35,1750,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,94
8,HIRAN,BELETWEYNE,BULOKAHIN,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,45,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,95
8,HIRAN,BELETWEYNE,BASLAWE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,33,1500,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,96
8,HIRAN,BELETWEYNE,BACADBUKE,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,50,2500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,97
8,HIRAN,BELETWEYNE,BACAD,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,50,2500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,98
8,HIRAN,MATABAN,SALAH SALID,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,85,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,99
8,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,100,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,100
8,HIRAN,MATABAN,QABNO,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,50,2250,4,,,,,,,,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,101
8,HIRAN,MATABAN,MIIRQOODE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,30,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,102
8,HIRAN,BELETWEYNE,MACRUF,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,110,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,103
8,HIRAN,MATABAN,KANECALE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,45,2250,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,104
8,HIRAN,MATABAN,JIRACLE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,72,3600,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,105
8,HIRAN,BELETWEYNE,JAWIL,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,45,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,106
8,HIRAN,BELETWEYNE,ILKACADO,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,45,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,107
8,HIRAN,MATABAN,HARQBOOBE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,100,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,108
8,HIRAN,BELETWEYNE,HARCADEY,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,40,2000,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,109
8,HIRAN,BELETWEYNE,GURICADE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,125,2500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,110
8,HIRAN,BELETWEYNE,FAAFGUMARE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,35,1750,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,111
8,HIRAN,BELETWEYNE,ELGAL,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,75,2500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,112
8,HIRAN,BELETWEYNE,DUSMO,SCI,DROUGHT,Training women group during child feeding and IYCF practices,3,90,1500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,113
