ags_code_old,ags_code_new
 AG6,AG6
 DM3,DM3
 FH5,FH5
 FH6,FH6
AA13,AA13
AA5,AA5
AA8    ,AA8
AG,AG
AH1O,AH1O
AL29,AL29
BQ3,BQ3
BRICS,BRICS
CF4,CF4
CJ,CJ
CJ 16,CJ16
CL16,CL16
CN 15,CN15
CP12,CP12
CP18,CP18
CP19,CP19
CP24,CP24
CP4,CP4
CQ4,CQ4
CR4,CR4
CS4,CS4
D N7,DN7
DEA1,DEA1
FE 7,FE7
FE5,FE5
FF921,FF921
FH23,FH23
FH26,FH26
FH27,FH27
FH5 ,FH5
FT13,FT13
GFB10,GFB10
GM4 ,GM4
HE 7,HE7
ITFH,ITFH
NC15,NC15
ZDAE1,ZDAE1
